Wavelength (nm), QE (%)
5.460000000000000000e+02,8.961749422058009884e+01
5.470000000000000000e+02,8.962357143038369145e+01
5.480000000000000000e+02,8.962964864018728406e+01
5.490000000000000000e+02,8.963572584999089088e+01
5.500000000000000000e+02,8.964180305979448349e+01
5.510000000000000000e+02,8.964788026959807610e+01
5.520000000000000000e+02,8.966773332240485672e+01
5.530000000000000000e+02,8.970379305744486942e+01
5.540000000000000000e+02,8.973985279248489633e+01
5.550000000000000000e+02,8.977591252752490902e+01
5.560000000000000000e+02,8.981197226256493593e+01
5.570000000000000000e+02,8.984803199760494863e+01
5.580000000000000000e+02,8.986695174210272796e+01
5.590000000000000000e+02,8.986703392399505219e+01
5.600000000000000000e+02,8.986711610588736221e+01
5.610000000000000000e+02,8.986719828777967223e+01
5.620000000000000000e+02,8.986728046967198225e+01
5.630000000000000000e+02,8.986736265156430647e+01
5.640000000000000000e+02,8.987629202411021367e+01
5.650000000000000000e+02,8.989436076456432545e+01
5.660000000000000000e+02,8.991242950501843723e+01
5.670000000000000000e+02,8.993049824547253479e+01
5.680000000000000000e+02,8.994856698592664657e+01
5.690000000000000000e+02,8.996663572638075834e+01
5.700000000000000000e+02,8.999079819272385805e+01
5.710000000000000000e+02,9.002086043562913176e+01
5.720000000000000000e+02,9.005092267853440546e+01
5.730000000000000000e+02,9.008098492143967917e+01
5.740000000000000000e+02,9.011104716434495288e+01
5.750000000000000000e+02,9.014110940725021237e+01
5.760000000000000000e+02,9.017117165103256582e+01
5.770000000000000000e+02,9.020123389560916394e+01
5.780000000000000000e+02,9.023129614018574784e+01
5.790000000000000000e+02,9.026135838476233175e+01
5.800000000000000000e+02,9.029142062933892987e+01
5.810000000000000000e+02,9.032148287391551378e+01
5.820000000000000000e+02,9.035154511731505522e+01
5.830000000000000000e+02,9.038160735971788995e+01
5.840000000000000000e+02,9.041166960212072468e+01
5.850000000000000000e+02,9.044173184452355940e+01
5.860000000000000000e+02,9.047179408692639413e+01
